Protein,GN,Species
Q8CIA5,Slc35b4,Mus musculus
Q8CIA9,Mfsd14b,Mus musculus
Q8CIB6,Tmem230,Mus musculus
Q8CIG0,Depdc1a,Mus musculus
Q8CII2,Cdc123,Mus musculus
Q8CIM1,Lrrc45,Mus musculus
Q8CIM7,Cyp2d26,Mus musculus
Q8CIM8,Ints4,Mus musculus
Q8CIP5,Disp2,Mus musculus
Q8CIT9,Sbsn,Mus musculus
Q8CJ61,Cmtm4,Mus musculus
Q8HWB2,H2-Q4,Mus musculus
Q8JZN3,Kcnj14,Mus musculus
Q8JZV4,Rbm41,Mus musculus
Q8JZV7,Amdhd2,Mus musculus
Q8JZW5,Sh2d5,Mus musculus
Q8JZZ0,Ugt3a2,Mus musculus
Q8K010,Oplah,Mus musculus
Q8K013,Gtpbp10,Mus musculus
Q8K015,Cenpo,Mus musculus
Q8K025,Frat2,Mus musculus
Q8K031,Stard8,Mus musculus
Q8K064,Fam174b,Mus musculus
Q8K070,Samd14,Mus musculus
Q8K072,Reep4,Mus musculus
Q8K088,Zbtb6,Mus musculus
Q8K094,Pvr,Mus musculus
Q8K0C1,Ipo13,Mus musculus
Q8K0C8,Cox19,Mus musculus
Q8K0D5,Gfm1,Mus musculus
Q8K0E1,Kctd15,Mus musculus
Q8K0G5,Eipr1,Mus musculus
Q8K0S0,Phyhip,Mus musculus
Q8K0S9,Snapc1,Mus musculus
Q8K0U4,Hspa12a,Mus musculus
Q8K0Z9,Gpr153,Mus musculus
Q8K114,Ints9,Mus musculus
Q8K130,Pla2g10,Mus musculus
Q8K194,Snrnp27,Mus musculus
Q8K1C0,Angel2,Mus musculus
Q8K1C7,Slc16a14,Mus musculus
Q8K1D8,Enho,Mus musculus
Q8K1H7,Tcp11l2,Mus musculus
Q8K1I3,Spp2,Mus musculus
Q8K1K4,Cenpi,Mus musculus
Q8K1L2,Spin4,Mus musculus
Q8K1M3,Prkar2a,Mus musculus
Q8K1N4,Spats2,Mus musculus
Q8K1T1,Lrrc25,Mus musculus
Q8K1T4,Ly6g5b,Mus musculus
Q8K248,Hpdl,Mus musculus
Q8K249,Cd300e,Mus musculus
Q8K268,Abcf3,Mus musculus
Q8K274,Fn3krp,Mus musculus
Q8K288,Tnfaip8l1,Mus musculus
Q8K2A6,Lipm,Mus musculus
Q8K2A8,Alg3,Mus musculus
Q8K2D3,Edc3,Mus musculus
Q8K2F3,Depp1,Mus musculus
Q8K2H6,Anapc10,Mus musculus
Q8K2I2,Cchcr1,Mus musculus
Q8K2J7,Rell1,Mus musculus
Q8K2M0,Mrpl38,Mus musculus
Q8K2P2,Fam83a,Mus musculus
Q8K2P6,Rfesd,Mus musculus
Q8K2Q0,Commd9,Mus musculus
Q8K2Q7,Brox,Mus musculus
Q8K2T1,Nmral1,Mus musculus
Q8K2T4,Uqcc3,Mus musculus
Q8K2U2,Alkbh6,Mus musculus
Q8K2W3,Txndc11,Mus musculus
Q8K2X2,Rbm48,Mus musculus
Q8K2Y7,Mrpl47,Mus musculus
Q8K2Z2,Prpf39,Mus musculus
Q8K301,Ddx52,Mus musculus
Q8K342,Rassf9,Mus musculus
Q8K349,Gimap6,Mus musculus
Q8K358,Pigu,Mus musculus
Q8K370,Acad10,Mus musculus
Q8K386,Rab15,Mus musculus
Q8K396,Mnd1,Mus musculus
Q8K3A2,Trpt1,Mus musculus
Q8K3A4,Rhno1,Mus musculus
Q8K3A6,Armcx6,Mus musculus
Q8K3C0,Rnasek,Mus musculus
Q8K3I8,Defb19,Mus musculus
Q8K3I9,Glcci1,Mus musculus
Q8K3J9,Gprc5c,Mus musculus
Q8K3M5,Cables2,Mus musculus
Q8K3P0,Sdr9c7,Mus musculus
Q8K3V1,Spata4,Mus musculus
Q8K402,Tbx22,Mus musculus
Q8K419,Lgals4,Mus musculus
Q8K443,Rgs13,Mus musculus
Q8K459,Pxt1,Mus musculus
Q8K4I7,Prss45,Mus musculus
Q8K4L4,Pof1b,Mus musculus
Q8K4N3,Defb12,Mus musculus
Q8K4P1,Npb,Mus musculus
Q8K4P7,St7l,Mus musculus
Q8K5B2,Mcfd2,Mus musculus
Q8QZR7,Pdik1l,Mus musculus
Q8QZR8,Ccnq,Mus musculus
Q8QZS1,Hibch,Mus musculus
Q8QZV0,Dedd2,Mus musculus
Q8QZV4,Stk32c,Mus musculus
Q8QZX0,Sbk1,Mus musculus
Q8QZX2,Haus3,Mus musculus
Q8QZX5,Lsm10,Mus musculus
Q8QZY2,Glyctk,Mus musculus
Q8QZY9,Sf3b4,Mus musculus
Q8QZZ7,Tprkb,Mus musculus
Q8R040,Rpp21,Mus musculus
Q8R070,Slc37a1,Mus musculus
Q8R080,Gtse1,Mus musculus
Q8R084,Ugt2b1,Mus musculus
Q8R089,Fbrs,Mus musculus
Q8R092,Unknown,Mus musculus
Q8R093,Upp2,Mus musculus
Q8R0A0,Gtf2f2,Mus musculus
Q8R0A2,Zbtb44,Mus musculus
Q8R0C0,Polr3gl,Mus musculus
Q8R0E5,Znrd1-as,Mus musculus
Q8R0F5,Rbmx2,Mus musculus
Q8R0J1,Plekhg6,Mus musculus
Q8R0J7,Vps37b,Mus musculus
Q8R0M8,Slc16a4,Mus musculus
Q8R0T2,Znf768,Mus musculus
Q8R0W5,Ces4a,Mus musculus
Q8R0X2,Cacul1,Mus musculus
Q8R100,Calhm5,Mus musculus
Q8R105,Vps37c,Mus musculus
Q8R149,Bud13,Mus musculus
Q8R164,Bphl,Mus musculus
Q8R189,Mmd2,Mus musculus
Q8R1C3,Vopp1,Mus musculus
Q8R1C6,Mettl22,Mus musculus
Q8R1C9,Apbb3,Mus musculus
Q8R1F6,Hid1,Mus musculus
Q8R1I1,Uqcr10,Mus musculus
Q8R1J1,Tm6sf2,Mus musculus
Q8R1L4,Kdelr3,Mus musculus
Q8R1M8,Mptx1,Mus musculus
Q8R1N4,Nudcd3,Mus musculus
Q8R1P5,Kcnk13,Mus musculus
Q8R1Q3,Angptl7,Mus musculus
Q8R1U1,Cog4,Mus musculus
Q8R1U2,Cgref1,Mus musculus
Q8R1Y2,Bmerb1,Mus musculus
Q8R205,Zc3h10,Mus musculus
Q8R207,Sptssa,Mus musculus
Q8R218,Tmem150b,Mus musculus
Q8R242,Ctbs,Mus musculus
Q8R2E6,V1ra11,Mus musculus
Q8R2I7,Defb11,Mus musculus
Q8R2I8,Defb10,Mus musculus
Q8R2K7,Snapc5,Mus musculus
Q8R2L5,Mrps18c,Mus musculus
Q8R2M2,Dnttip2,Mus musculus
Q8R2N0,Ccdc59,Mus musculus
Q8R2Q4,Gfm2,Mus musculus
Q8R2S1,Rps6kl1,Mus musculus
Q8R2V5,Adap2,Mus musculus
Q8R2Y3,Dolk,Mus musculus
Q8R2Y8,Ptrh2,Mus musculus
Q8R310,Tmcc3,Mus musculus
Q8R367,Rerg,Mus musculus
Q8R395,Commd5,Mus musculus
Q8R3C0,Mcmbp,Mus musculus
Q8R3I9,B3gnt8,Mus musculus
Q8R3N1,Nop14,Mus musculus
Q8R3P6,Ints14,Mus musculus
Q8R3Q0,Saraf,Mus musculus
Q8R3Q2,Ppp6r2,Mus musculus
Q8R3V5,Sh3glb2,Mus musculus
Q8R3W5,Tsen15,Mus musculus
Q8R3W7,Agr3,Mus musculus
Q8R404,Micos13,Mus musculus
Q8R411,Myct1,Mus musculus
Q8R459,Il1f10,Mus musculus
Q8R4C2,Rufy2,Mus musculus
Q8R4E4,Myoz3,Mus musculus
Q8R4E6,Purg,Mus musculus
Q8R4H4,Cpa5,Mus musculus
Q8R4U6,Top1mt,Mus musculus
Q8R4V5,Oit3,Mus musculus
Q8R4W6,Pcolce2,Mus musculus
Q8R4X3,Rbm12,Mus musculus
Q8R574,Prpsap2,Mus musculus
Q8R5A6,Tbc1d22a,Mus musculus
Q8R5F9,AY074887,Mus musculus
Q8R5M0,Gipc3,Mus musculus
Q8VBT1,Txlnb,Mus musculus
Q8VBW8,Ttc36,Mus musculus
Q8VBW9,Or10h28,Mus musculus
Q8VC26,Tlcd2,Mus musculus
Q8VC28,Akr1c13,Mus musculus
Q8VC42,Rmc1,Mus musculus
Q8VC52,Rbpms2,Mus musculus
Q8VC57,Kctd5,Mus musculus
Q8VC60,Glb1l,Mus musculus
Q8VC74,Cox18,Mus musculus
Q8VC77,Akr1c20,Mus musculus
Q8VC82,Rhbdl1,Mus musculus
Q8VC88,Gca,Mus musculus
Q8VC98,Plekha4,Mus musculus
Q8VCA6,Tmem161a,Mus musculus
Q8VCD3,Lman1l,Mus musculus
Q8VCE0,Atp1a3,Mus musculus
Q8VCE9,Plekhh3,Mus musculus
Q8VCG9,Rfxap,Mus musculus
Q8VCH8,Ubxn4,Mus musculus
Q8VCH9,Lrrc3b,Mus musculus
Q8VCJ6,Mrgprf,Mus musculus
Q8VCK7,Sycn,Mus musculus
Q8VCM3,Zfyve21,Mus musculus
Q8VCM4,Lipt1,Mus musculus
Q8VCM8,Ncln,Mus musculus
Q8VCN9,Tbcc,Mus musculus
Q8VCQ8,Cald1,Mus musculus
Q8VCR3,Tmem242,Mus musculus
Q8VCR7,Abhd14b,Mus musculus
Q8VCS9,Slc6a12,Mus musculus
Q8VCU1,Ces3b,Mus musculus
Q8VCW8,Acsf2,Mus musculus
Q8VCX6,Kptn,Mus musculus
Q8VCY6,Utp6,Mus musculus
Q8VCY8,Plppr2,Mus musculus
Q8VCZ7,Zbtb7c,Mus musculus
Q8VD33,Sgtb,Mus musculus
Q8VD57,Sft2d2,Mus musculus
Q8VD76,Gtf2h3,Mus musculus
Q8VDB2,Alg12,Mus musculus
Q8VDC0,Lars2,Mus musculus
Q8VDI1,Epsti1,Mus musculus
Q8VDJ3,Hdlbp,Mus musculus
Q8VDN4,Ccdc92,Mus musculus
Q8VDS1,Ube4a,Mus musculus
Q8VDS4,Rprd1a,Mus musculus
Q8VDS7,Cep57l1,Mus musculus
Q8VDT1,Slc5a9,Mus musculus
Q8VDU1,Rhov,Mus musculus
Q8VDV0,Itgbl1,Mus musculus
Q8VDV3,Rab3il1,Mus musculus
Q8VDV8,Mitd1,Mus musculus
Q8VE22,Mrps23,Mus musculus
Q8VE42,Ankrd49,Mus musculus
Q8VE62,Paip1,Mus musculus
Q8VE80,Thoc3,Mus musculus
Q8VE85,Prelid3a,Mus musculus
Q8VE94,Fam110c,Mus musculus
Q8VEA7,Tcta,Mus musculus
Q8VED9,Lgalsl,Mus musculus
Q8VEH2,Ciz1,Mus musculus
Q8VEH5,Epm2aip1,Mus musculus
Q8VEH8,Erlec1,Mus musculus
Q8VEJ1,Gpn2,Mus musculus
Q8VEJ3,Dkk4,Mus musculus
Q8VEL2,Mtmr14,Mus musculus
Q8VEL9,Rem2,Mus musculus
Q8VES2,Or5t17,Mus musculus
Q8VEW2,Or5p73,Mus musculus
Q8VEW5,Or5p68,Mus musculus
Q8VEW6,Or5p81,Mus musculus
Q8VEX5,Or5h18,Mus musculus
Q8VEX6,Or5h19,Mus musculus
Q8VF12,Or5p70,Mus musculus
Q8VF13,Or5t9,Mus musculus
Q8VF35,Or5bh3,Mus musculus
Q8VF65,Or5p51,Mus musculus
Q8VF66,Or5p50,Mus musculus
Q8VF76,Or5g29,Mus musculus
Q8VFB9,Or5h17,Mus musculus
Q8VFC9,Or5p54,Mus musculus
Q8VFD0,Or5p62,Mus musculus
Q8VFD1,Or5p67,Mus musculus
Q8VFD2,Or5p66,Mus musculus
Q8VFD3,Or5p60,Mus musculus
Q8VFK1,Or5g9,Mus musculus
Q8VFK7,Or5ap2,Mus musculus
Q8VFL9,Or5t7,Mus musculus
Q8VFM9,Or1m1,Mus musculus
Q8VFR8,Olfr1165-ps,Mus musculus
Q8VG02,Or5p64,Mus musculus
Q8VG03,Or5p58,Mus musculus
Q8VG04,Or5p6,Mus musculus
Q8VG05,Or5p59,Mus musculus
Q8VG06,Or5p1,Mus musculus
Q8VG07,Or5p69,Mus musculus
Q8VG08,Or5p72,Mus musculus
Q8VG09,Or5p76,Mus musculus
Q8VG13,Or5p79,Mus musculus
Q8VG42,Or5p80,Mus musculus
Q8VG43,Or5p52,Mus musculus
Q8VG44,Or5p53,Mus musculus
Q8VGE3,Or8a1b,Mus musculus
Q8VGI1,Or1e16,Mus musculus
Q8VGI4,Or5p55,Mus musculus
Q8VGI5,Or5p4,Mus musculus
Q8VGI6,Or5p56,Mus musculus
Q8VGR8,Or5j3,Mus musculus
Q8VGR9,Or8u9,Mus musculus
Q8VHA6,Asb18,Mus musculus
Q8VHI7,Ccdc65,Mus musculus
Q8VHK1,Caskin2,Mus musculus
Q8VHL5,Crygn,Mus musculus
Q8VHM5,Hnrnpr,Mus musculus
Q8VHP8,Rab40b,Mus musculus
Q8VHT7,Gtf3a,Mus musculus
Q8VHW3,Cacng6,Mus musculus
Q8VHW4,Cacng5,Mus musculus
Q8VHZ7,Imp4,Mus musculus
Q8VI21,Clec2f,Mus musculus
Q8VI23,Slc12a8,Mus musculus
Q8VI59,Pcnx3,Mus musculus
Q8VI75,Ipo4,Mus musculus
Q8VIB3,St3gal6,Mus musculus
Q8VIG0,Zcchc14,Mus musculus
Q8VII3,Cst14,Mus musculus
Q8VIK2,Mpv17l2,Mus musculus
Q8VIL2,Rwdd3,Mus musculus
Q8VIN1,Pbp2,Mus musculus
Q91V13,Leap2,Mus musculus
Q91V35,Ptpra,Mus musculus
Q91V61,Sfxn3,Mus musculus
Q91V70,Defb7,Mus musculus
Q91V77,S100a1,Mus musculus
Q91V80,Apof,Mus musculus
Q91V83,Tti1,Mus musculus
Q91V89,Ppp2r5d,Mus musculus
Q91V93,Rhobtb2,Mus musculus
Q91VA7,Idh3b,Mus musculus
Q91VB8,Hba-a1,Mus musculus
Q91VC7,Ppp1r14a,Mus musculus
Q91VD1,Lgals12,Mus musculus
Q91VD6,Defb6,Mus musculus
Q91VI7,Rnh1,Mus musculus
Q91VU0,Fam3c,Mus musculus
Q91VU1,Yipf1,Mus musculus
Q91VU6,Dcaf11,Mus musculus
Q91VU8,Ptov1,Mus musculus
Q91VW3,Sh3bgrl3,Mus musculus
Q91VX2,Ubap2,Mus musculus
Q91VX5,Nxph3,Mus musculus
Q91VX9,Tmem168,Mus musculus
Q91VY6,Cytip,Mus musculus
Q91W00,Ggta1,Mus musculus
Q91W01,Pmm1,Mus musculus
Q91W20,Lrrc26,Mus musculus
Q91W29,Cox4i2,Mus musculus
Q91W45,Paip2b,Mus musculus
Q91W53,Golga7,Mus musculus
Q91W67,Ubl7,Mus musculus
Q91W78,Usb1,Mus musculus
Q91WA4,Cxxc5,Mus musculus
Q91WD9,Scgn,Mus musculus
Q91WE1,Snx15,Mus musculus
Q91WE2,Psme3ip1,Mus musculus
Q91WE3,Rpp25,Mus musculus
Q91WJ7,Spats2l,Mus musculus
Q91WK0,Lrrfip2,Mus musculus
Q91WK5,Gcsh,Mus musculus
Q91WL0,Eps8l3,Mus musculus
Q91WL6,Snx11,Mus musculus
Q91WM6,Eva1a,Mus musculus
Q91WN1,Dnajc9,Mus musculus
Q91WN2,Tmem150a,Mus musculus
Q91WQ9,Calml4,Mus musculus
Q91WT4,Dnajc17,Mus musculus
Q91WT7,Akr1c14,Mus musculus
Q91WW2,Mrgpra4,Mus musculus
Q91WW5,Mrgpra1,Mus musculus
Q91X45,Zbtb3,Mus musculus
Q91X49,Mall,Mus musculus
Q91X70,C6,Mus musculus
Q91X91,Qprt,Mus musculus
Q91X96,Rabif,Mus musculus
Q91XB7,Yif1a,Mus musculus
Q91XC8,Dap,Mus musculus
Q91XC9,Pex16,Mus musculus
Q91XD8,Slc25a38,Mus musculus
Q91XE7,Atp6v0e2,Mus musculus
Q91XH6,Vti1b,Mus musculus
Q91XW9,Pcdhgc5,Mus musculus
Q91XX1,Pcdhgc3,Mus musculus
Q91XY4,Pcdhga4,Mus musculus
Q91XY5,Pcdhga3,Mus musculus
Q91Y03,Pcdhb16,Mus musculus
Q91Y20,Pcdha10,Mus musculus
Q91YD6,Vill,Mus musculus
Q91YJ3,Thyn1,Mus musculus
Q91YP3,Dera,Mus musculus
Q91YQ3,Csdc2,Mus musculus
Q91YQ7,Rmnd5b,Mus musculus
Q91YS4,Klc2,Mus musculus
Q91YS7,Map2k2,Mus musculus
Q91YU8,Ppan,Mus musculus
Q91YY4,Atpaf2,Mus musculus
Q91YZ5,Pex2,Mus musculus
Q91YZ8,Pabpc4,Mus musculus
Q91Z49,Fyttd1,Mus musculus
Q91Z61,Diras1,Mus musculus
Q91ZA6,Socs4,Mus musculus
Q91ZB5,Mrgprg,Mus musculus
Q91ZB7,Mrgpre,Mus musculus
Q91ZB8,Mrgprd,Mus musculus
Q91ZM8,Cabp7,Mus musculus
Q91ZN5,Slc35b2,Mus musculus
Q91ZT8,Asb9,Mus musculus
Q91ZU1,Asb6,Mus musculus
Q91ZV3,Dcbld2,Mus musculus
Q91ZW7,Cd209e,Mus musculus
Q91ZW9,Cd209c,Mus musculus
Q920C4,Ms4a3,Mus musculus
Q920D7,Scgb3a1,Mus musculus
Q920I9,Wdr7,Mus musculus
Q920M5,Coro6,Mus musculus
Q920N1,Cimap1a,Mus musculus
Q920P2,Or5d18,Mus musculus
Q921H9,Coa7,Mus musculus
Q921K8,Tcaf2,Mus musculus
Q921L5,Cog2,Mus musculus
Q921L7,Hemk1,Mus musculus
Q921R4,Dnajc14,Mus musculus
Q921R8,Slc41a3,Mus musculus
Q921W4,Cryzl1,Mus musculus
Q921X6,Polr3f,Mus musculus
Q921X9,Pdia5,Mus musculus
Q921Y0,Mob1a,Mus musculus
Q921Y2,Imp3,Mus musculus
Q921Z5,Tnfaip8,Mus musculus
Q922H7,Rasl11b,Mus musculus
Q922H9,Znf330,Mus musculus
Q922L6,Nelfcd,Mus musculus
Q922M5,Cdca7l,Mus musculus
Q922Q4,Pycr2,Mus musculus
Q922Q5,Slc35b3,Mus musculus
Q922Q8,Lrrc59,Mus musculus
Q922Q9,Chid1,Mus musculus
Q922T2,Mfap3,Mus musculus
Q922U1,Prpf3,Mus musculus
Q922W6,Mmp3,Mus musculus
Q922Z1,Ldaf1,Mus musculus
Q923B0,Ggact,Mus musculus
Q923K4,Gtpbp3,Mus musculus
Q923P0,Col20a1,Mus musculus
Q923S9,Rab30,Mus musculus
Q924B0,Impa1,Mus musculus
Q924H0,Npffr2,Mus musculus
Q924H9,Dqx1,Mus musculus
Q924P3,Lcn8,Mus musculus
Q924S2,Oas1c,Mus musculus
Q924T2,Mrps2,Mus musculus
Q924X4,Pthlh,Mus musculus
Q924Z5,Tram2,Mus musculus
Q925E0,Sntg2,Mus musculus
Q925E1,Sntg1,Mus musculus
Q925E7,Ppp2r2d,Mus musculus
Q925I8,Pcdh10,Mus musculus
Q925N1,Sfxn4,Mus musculus
Q925N2,Sfxn2,Mus musculus
Q925Q5,Gpha2,Mus musculus
Q925T4,Plagl2,Mus musculus
Q925U0,Oosp1,Mus musculus
Q99J10,Ctu1,Mus musculus
Q99J23,Ghdc,Mus musculus
Q99J25,Mrm1,Mus musculus
Q99J59,Tspan1,Mus musculus
Q99J77,Nans,Mus musculus
Q99JI4,Psmd6,Mus musculus
Q99JP4,Cdc26,Mus musculus
Q99JS0,Ncmap,Mus musculus
Q99JT1,Gatb,Mus musculus
Q99JT6,Tlcd1,Mus musculus
Q99JV5,Stard4,Mus musculus
Q99JX1,Taf11,Mus musculus
Q99JZ0,Sdcbp2,Mus musculus
Q99JZ4,Sar1a,Mus musculus
Q99K01,Pdxdc1,Mus musculus
Q99K85,Psat1,Mus musculus
Q99K95,Rtf2,Mus musculus
Q99KC7,Smagp,Mus musculus
Q99KF0,Card14,Mus musculus
Q99KI3,Emc3,Mus musculus
Q99KJ5,Tcf19,Mus musculus
Q99KK1,Reep3,Mus musculus
Q99KK9,Hars2,Mus musculus
Q99KL7,Rab28,Mus musculus
Q99KN2,Ciao1,Mus musculus
Q99KR3,Lactb2,Mus musculus
Q99KU6,Unknown,Mus musculus
Q99KW9,Itfg1,Mus musculus
Q99KX1,Mlf2,Mus musculus
Q99L04,Dhrs1,Mus musculus
Q99L13,Hibadh,Mus musculus
Q99L20,Gstt3,Mus musculus
Q99L27,Gmpr2,Mus musculus
Q99L48,Nmd3,Mus musculus
Q99L60,Atp6v1c2,Mus musculus
Q99LB0,Dnttip1,Mus musculus
Q99LB6,Mat2b,Mus musculus
Q99LB7,Sardh,Mus musculus
Q99LE2,Gpr146,Mus musculus
Q99LE3,Lysmd3,Mus musculus
Q99LG2,Tnpo2,Mus musculus
Q99LH1,Gnl2,Mus musculus
Q99LH4,Znf672,Mus musculus
Q99LH9,Sh3bp5l,Mus musculus
Q99LI7,Cstf3,Mus musculus
Q99LJ6,Gpx7,Mus musculus
Q99LL3,Chst12,Mus musculus
Q99LM9,Tada1,Mus musculus
Q99LP6,Grpel1,Mus musculus
Q99LP8,Yipf2,Mus musculus
Q99LV7,Pigx,Mus musculus
Q99LY9,Ndufs5,Mus musculus
Q99M31,Hspa14,Mus musculus
Q99M74,Krt82,Mus musculus
Q99M96,St7,Mus musculus
Q99MD8,Mynn,Mus musculus
Q99ME2,Wdr6,Mus musculus
Q99ME3,Sncaip,Mus musculus
Q99ML4,Dipk1b,Mus musculus
Q99MP3,Calcb,Mus musculus
Q99MT7,Gpr87,Mus musculus
Q99MT8,Mrgprh,Mus musculus
Q99MU1,Tpra1,Mus musculus
Q99MW3,Pramel1,Mus musculus
Q99MX0,Tktl1,Mus musculus
Q99N03,Ms4a10,Mus musculus
Q99N07,Ms4a6d,Mus musculus
Q99N08,Ms4a6c,Mus musculus
Q99N09,Ms4a6b,Mus musculus
Q99N64,Gmcl2,Mus musculus
Q99N84,Mrps18b,Mus musculus
Q99N85,Mrps18a,Mus musculus
Q99N87,Mrps5,Mus musculus
Q99N89,Mrpl43,Mus musculus
Q99N91,Mrpl34,Mus musculus
Q99N92,Mrpl27,Mus musculus
Q99NF7,Ppm1b,Mus musculus
Q99NF8,Ranbp17,Mus musculus
Q99NI3,Gtf2ird2,Mus musculus
Q99P25,Tsnaxip1,Mus musculus
Q99P31,Hspbp1,Mus musculus
Q99P81,Abcg3,Mus musculus
Q99PG2,Ogfr,Mus musculus
Q99PG4,Rgs18,Mus musculus
Q99PR8,Hspb2,Mus musculus
Q99PS0,Krt23,Mus musculus
Q9CPQ1,Cox6c,Mus musculus
Q9CPQ5,Cenpq,Mus musculus
Q9CPQ8,Atp5mg,Mus musculus
Q9CPR5,Mrpl15,Mus musculus
Q9CPT0,Bcl2l14,Mus musculus
Q9CPT3,Nanp,Mus musculus
Q9CPU2,Ndufb2,Mus musculus
Q9CPV1,Ska1,Mus musculus
Q9CPV3,Mrpl42,Mus musculus
Q9CPW5,Ssr2,Mus musculus
Q9CPW7,Zmat2,Mus musculus
Q9CPX3,Lyzl1,Mus musculus
Q9CPX7,Mrps16,Mus musculus
Q9CPX8,Uqcr11,Mus musculus
Q9CPY0,Mrm2,Mus musculus
Q9CPY1,Mrpl51,Mus musculus
Q9CPY6,Gid4,Mus musculus
Q9CPZ8,Cmc1,Mus musculus
Q9CQ06,Mrpl24,Mus musculus
Q9CQ07,Lrrc18,Mus musculus
Q9CQ13,Coprs,Mus musculus
Q9CQ18,Rnaseh2c,Mus musculus
Q9CQ25,Mzt2,Mus musculus
Q9CQ28,Dph6,Mus musculus
Q9CQ31,Asb11,Mus musculus
Q9CQ35,Glipr1l2,Mus musculus
Q9CQ36,Pole4,Mus musculus
Q9CQ44,Tmem218,Mus musculus
Q9CQ46,Efcab2,Mus musculus
Q9CQ48,Nudcd2,Mus musculus
Q9CQ54,Ndufc2,Mus musculus
Q9CQ58,Prl8a9,Mus musculus
Q9CQ60,Pgls,Mus musculus
Q9CQ61,Unc50,Mus musculus
Q9CQ65,Mtap,Mus musculus
Q9CQ66,Dynlt2b,Mus musculus
Q9CQ74,Leprotl1,Mus musculus
Q9CQ80,Vps25,Mus musculus
Q9CQ85,Timm22,Mus musculus
Q9CQ89,Cuta,Mus musculus
Q9CQ91,Ndufa3,Mus musculus
Q9CQA0,Cenpm,Mus musculus
Q9CQA1,Trappc5,Mus musculus
Q9CQA6,Chchd1,Mus musculus
Q9CQA8,Cep19,Mus musculus
Q9CQA9,Ntpcr,Mus musculus
Q9CQC2,Clps,Mus musculus
Q9CQC3,Cfap95,Mus musculus
Q9CQC6,Bzw1,Mus musculus
Q9CQC7,Ndufb4,Mus musculus
Q9CQD8,Atp6v0e1,Mus musculus
Q9CQE3,Mrps17,Mus musculus
Q9CQE8,RTRAF,Mus musculus
Q9CQF0,Mrpl11,Mus musculus
Q9CQF4,Mtres1,Mus musculus
Q9CQF6,Aasdhppt,Mus musculus
Q9CQF8,Mrpl57,Mus musculus
Q9CQG0,Tmed6,Mus musculus
Q9CQG1,Chac2,Mus musculus
Q9CQG6,Tmem147,Mus musculus
Q9CQH3,Ndufb5,Mus musculus
Q9CQI1,Sftpa1,Mus musculus
Q9CQI3,Gmfb,Mus musculus
Q9CQJ1,Higd2a,Mus musculus
Q9CQJ6,Denr,Mus musculus
Q9CQJ8,Ndufb9,Mus musculus
Q9CQK1,Znhit3,Mus musculus
Q9CQK3,Rdm1,Mus musculus
Q9CQL0,Mettl21A,Mus musculus
Q9CQL4,Mrpl20,Mus musculus
Q9CQL5,Mrpl18,Mus musculus
Q9CQL7,Mrfap1,Mus musculus
Q9CQM1,Unknown,Mus musculus
Q9CQN3,Tomm6,Mus musculus
Q9CQN6,Tmem14c,Mus musculus
Q9CQN7,Mrpl41,Mus musculus
Q9CQQ4,Gemin2,Mus musculus
Q9CQS2,Nop10,Mus musculus
Q9CQS3,Fibin,Mus musculus
Q9CQS6,Gkn2,Mus musculus
Q9CQS9,Haus2,Mus musculus
Q9CQT1,Mri1,Mus musculus
Q9CQT5,Pomp,Mus musculus
Q9CQT6,Spmip5,Mus musculus
Q9CQU0,Txndc12,Mus musculus
Q9CQU8,Immp1l,Mus musculus
Q9CQV3,Serpinb11,Mus musculus
Q9CQW0,Emc6,Mus musculus
Q9CQW5,Lgals2,Mus musculus
Q9CQX0,Otub2,Mus musculus
Q9CQX6,Naa12,Mus musculus
Q9CQY7,Mmd,Mus musculus
Q9CQY8,Tm4sf20,Mus musculus
Q9CQY9,Ndufc1,Mus musculus
Q9CQZ1,Hsbp1,Mus musculus
Q9CQZ5,Ndufa6,Mus musculus
Q9CQZ6,Ndufb3,Mus musculus
Q9CQZ7,Polr3k,Mus musculus
Q9CR00,Psmd9,Mus musculus
Q9CR02,Tma16,Mus musculus
Q9CR08,Pop4,Mus musculus
Q9CR09,Ufc1,Mus musculus
Q9CR13,Fmc1,Mus musculus
Q9CR20,Ier3ip1,Mus musculus
Q9CR27,Washc3,Mus musculus
Q9CR41,Hypk,Mus musculus
Q9CR46,Ska2,Mus musculus
Q9CR47,Nsa2,Mus musculus
Q9CR59,Gadd45gip1,Mus musculus
Q9CR60,Golt1b,Mus musculus
Q9CR63,Cox16,Mus musculus
Q9CR64,Tmem167a,Mus musculus
Q9CR70,Lage3,Mus musculus
Q9CR76,Tmem186,Mus musculus
Q9CR80,Fam32a,Mus musculus
Q9CR88,Mrps14,Mus musculus
Q9CR92,Cfap184,Mus musculus
Q9CRA9,Fgfr1op2,Mus musculus
Q9CRB0,Snx24,Mus musculus
Q9CRB5,Prl7c1,Mus musculus
Q9CRB8,Mtfp1,Mus musculus
Q9CRD2,Emc2,Mus musculus
Q9CRG1,Tm7sf3,Mus musculus
Q9CRT8,Xpot,Mus musculus
Q9CSP9,Ttc14,Mus musculus
Q9CSV6,Sft2d3,Mus musculus
Q9CT10,Ranbp3,Mus musculus
Q9CTH6,Fcf1,Mus musculus
Q9CU65,Zmym2,Mus musculus
Q9CUB6,Otud1,Mus musculus
